t,kl,tr_elbo,tr_acc,tr_ll,tr_time,te_acc_mcvi,te_time_mcvi,te_acc_dvi,te_acc_samples,te_time_dvi
0,0.09752089897791545,-0.34019468118747076,0.9291166666666667,-0.24267378187974295,381.45204305648804,0.9769369009584664,76.36211204528809,0.9763378594249201,0.896964856230032,20.703964710235596
1,0.06719226831793786,-0.14300214527845384,0.9785,-0.0758098771095276,379.026260137558,0.9764376996805112,78.82628202438354,0.9795327476038339,0.9058506389776357,19.846100091934204
2,0.04705723525087039,-0.10519773801167806,0.9847333333333333,-0.05814050275882085,379.4269070625305,0.9791333865814696,80.73801493644714,0.9842252396166135,0.9039536741214057,19.472434043884277
3,0.035991296899318695,-0.08410282683769862,0.98785,-0.04811152993440628,377.37918496131897,0.9846246006389776,76.19721698760986,0.9850239616613419,0.9019568690095847,20.7117018699646
4,0.03062607701420784,-0.0703274981379509,0.9905333333333334,-0.03970142109791438,381.7668101787567,0.9850239616613419,72.22753596305847,0.9850239616613419,0.8950678913738019,19.673972129821777
5,0.027011773785948753,-0.06353380124469599,0.9912166666666666,-0.036522027508417765,384.29032921791077,0.9848242811501597,74.25940895080566,0.9880191693290735,0.8986621405750799,20.161176204681396
6,0.02428421176870664,-0.05419084622661273,0.9929833333333333,-0.02990663448572159,380.41464400291443,0.9841253993610224,78.65349507331848,0.9866214057507987,0.8883785942492013,19.396428108215332
7,0.022107419138153395,-0.050683767769734066,0.9939166666666667,-0.028576348638534546,372.7809679508209,0.9840255591054313,78.59917902946472,0.9864217252396166,0.9002595846645367,19.355844020843506
8,0.02057466072936853,-0.04445336665312449,0.9951166666666666,-0.023878705885012945,386.49705505371094,0.9827276357827476,76.21663999557495,0.9873202875399361,0.8885782747603834,20.523077964782715
9,0.019213433955113095,-0.04109807445804278,0.9955833333333334,-0.0218846404671669,376.0538959503174,0.9824281150159745,75.54478716850281,0.9846246006389776,0.8808905750798722,19.31496000289917
