t,ELBO,ll,kl,lmbda
0,-6.911380290985107,-6.911380290985107,92.62764739990234,0.0
20,-0.7942681312561035,-0.7942681312561035,92.94715118408203,0.0
40,-0.7140600681304932,-0.7140600681304932,93.25802612304688,0.0
60,-0.41843461990356445,-0.41843461990356445,93.67779541015625,0.0
80,-0.23086223006248474,-0.23086223006248474,94.17364501953125,0.0
100,-0.0761236846446991,-0.0761236846446991,94.7210922241211,0.0
120,0.03295082598924637,0.03295082598924637,95.2869873046875,0.0
140,0.11054308712482452,0.11054308712482452,95.77558135986328,0.0
160,0.17166730761528015,0.17166730761528015,96.15574645996094,0.0
180,0.20597527921199799,0.20597527921199799,96.46554565429688,0.0
200,0.23810908198356628,0.23810908198356628,96.7294692993164,0.0
220,0.2605617642402649,0.2605617642402649,96.96477508544922,0.0
240,0.28199151158332825,0.28199151158332825,97.18904876708984,0.0
260,0.30118513107299805,0.30118513107299805,97.3891372680664,0.0
280,0.31698116660118103,0.31698116660118103,97.57705688476562,0.0
300,0.3321232795715332,0.3321232795715332,97.75408172607422,0.0
320,0.3446880280971527,0.3446880280971527,97.92098999023438,0.0
340,0.35688307881355286,0.35688307881355286,98.07994079589844,0.0
360,0.3685700595378876,0.3685700595378876,98.23184967041016,0.0
380,0.37954145669937134,0.37954145669937134,98.37747192382812,0.0
400,0.3891896605491638,0.3891896605491638,98.51710510253906,0.0
420,0.39842477440834045,0.39842477440834045,98.64923095703125,0.0
440,0.40670984983444214,0.40670984983444214,98.7764663696289,0.0
460,0.4204453229904175,0.4204453229904175,98.90098571777344,0.0
480,0.4255121946334839,0.4255121946334839,99.0200424194336,0.0
500,0.43213748931884766,0.43213748931884766,99.13401794433594,0.0
520,0.4366331696510315,0.4366331696510315,99.24283599853516,0.0
540,0.4409681558609009,0.4409681558609009,99.3464584350586,0.0
560,0.4446107745170593,0.4446107745170593,99.44526672363281,0.0
580,0.44825130701065063,0.44825130701065063,99.53994750976562,0.0
600,0.4515474736690521,0.4515474736690521,99.63123321533203,0.0
620,0.4543464481830597,0.4543464481830597,99.72119903564453,0.0
640,0.4570736587047577,0.4570736587047577,99.80840301513672,0.0
660,0.4597461223602295,0.4597461223602295,99.89317321777344,0.0
680,0.4627170264720917,0.4627170264720917,99.97588348388672,0.0
700,0.4648747444152832,0.4648747444152832,100.05718994140625,0.0
720,0.46776679158210754,0.46776679158210754,100.1378173828125,0.0
740,0.4698985517024994,0.4698985517024994,100.21612548828125,0.0
760,0.47273242473602295,0.47273242473602295,100.29241943359375,0.0
780,0.475097119808197,0.475097119808197,100.3671646118164,0.0
800,0.4775945842266083,0.4775945842266083,100.44051361083984,0.0
820,0.4798649847507477,0.4798649847507477,100.51201629638672,0.0
840,0.4821149408817291,0.4821149408817291,100.58257293701172,0.0
860,0.4841771125793457,0.4841771125793457,100.65184020996094,0.0
880,0.48645833134651184,0.48645833134651184,100.71981811523438,0.0
900,0.48839256167411804,0.48839256167411804,100.786376953125,0.0
920,0.49047356843948364,0.49047356843948364,100.85187530517578,0.0
940,0.49190834164619446,0.49190834164619446,100.91586303710938,0.0
960,0.49438807368278503,0.49438807368278503,100.97913360595703,0.0
980,0.49492430686950684,0.49492430686950684,101.04161834716797,0.0
