Namespace(anneal_updates=1000, batch_size=500, data_size=500, device='mps', draw_every=1000, epochs=20000, gamma=0.5, heteroskedastic=True, hid_size=128, homo_log_var_scale=-3.2188758248682006, homo_var=0.35, lr=0.01, mcvi=False, method='bayes', milestones=[1000, 3000, 5000, 9000, 13000], test_size=100, warmup_updates=14000)
Model(
  (linear): LinearGaussian(in_features=1, out_features=128)
  (relu1): ReluGaussian(in_features=128, out_features=128)
  (out): ReluGaussian(in_features=128, out_features=2)
)
  epoch        ELBO       ll         kl    lmbda
   2100  9.067e-01  0.9067  1.056e+02   0.0000
   2120  9.071e-01  0.9071  1.057e+02   0.0000
   2140  9.076e-01  0.9076  1.057e+02   0.0000
   2160  9.081e-01  0.9081  1.057e+02   0.0000
   2180  9.085e-01  0.9085  1.058e+02   0.0000
   2200  9.089e-01  0.9089  1.058e+02   0.0000
   2220  9.093e-01  0.9093  1.059e+02   0.0000
   2240  9.097e-01  0.9097  1.059e+02   0.0000
   2260  9.101e-01  0.9101  1.059e+02   0.0000
   2280  9.105e-01  0.9105  1.060e+02   0.0000
   2300  9.109e-01  0.9109  1.060e+02   0.0000
   2320  9.112e-01  0.9112  1.060e+02   0.0000
   2340  9.115e-01  0.9115  1.061e+02   0.0000
   2360  9.118e-01  0.9118  1.061e+02   0.0000
   2380  9.121e-01  0.9121  1.062e+02   0.0000
   2400  9.124e-01  0.9124  1.062e+02   0.0000
   2420  9.126e-01  0.9126  1.062e+02   0.0000
   2440  9.129e-01  0.9129  1.063e+02   0.0000
   2460  9.131e-01  0.9131  1.063e+02   0.0000
   2480  9.133e-01  0.9133  1.063e+02   0.0000
   2500  9.136e-01  0.9136  1.064e+02   0.0000
   2520  9.138e-01  0.9138  1.064e+02   0.0000
   2540  9.140e-01  0.9140  1.064e+02   0.0000
   2560  9.142e-01  0.9142  1.065e+02   0.0000
   2580  9.144e-01  0.9144  1.065e+02   0.0000
   2600  9.146e-01  0.9146  1.065e+02   0.0000
   2620  9.148e-01  0.9148  1.066e+02   0.0000
   2640  9.150e-01  0.9150  1.066e+02   0.0000
   2660  9.152e-01  0.9152  1.066e+02   0.0000
   2680  9.154e-01  0.9154  1.067e+02   0.0000
   2700  9.156e-01  0.9156  1.067e+02   0.0000
   2720  9.158e-01  0.9158  1.067e+02   0.0000
   2740  9.160e-01  0.9160  1.068e+02   0.0000
   2760  9.162e-01  0.9162  1.068e+02   0.0000
   2780  9.164e-01  0.9164  1.068e+02   0.0000
   2800  9.166e-01  0.9166  1.069e+02   0.0000
   2820  9.168e-01  0.9168  1.069e+02   0.0000
   2840  9.170e-01  0.9170  1.069e+02   0.0000
   2860  9.171e-01  0.9171  1.070e+02   0.0000
   2880  9.173e-01  0.9173  1.070e+02   0.0000
   2900  9.175e-01  0.9175  1.070e+02   0.0000
   2920  9.177e-01  0.9177  1.071e+02   0.0000
   2940  9.179e-01  0.9179  1.071e+02   0.0000
   2960  9.181e-01  0.9181  1.071e+02   0.0000
   2980  9.183e-01  0.9183  1.072e+02   0.0000
   3000  9.185e-01  0.9185  1.072e+02   0.0000
   3020  9.973e-01  0.9973  1.072e+02   0.0000
   3040  1.061e+00  1.0611  1.072e+02   0.0000
   3060  1.051e+00  1.0505  1.073e+02   0.0000
   3080  1.071e+00  1.0714  1.073e+02   0.0000
   3100  1.074e+00  1.0742  1.073e+02   0.0000
   3120  1.076e+00  1.0756  1.073e+02   0.0000
   3140  1.075e+00  1.0753  1.073e+02   0.0000
   3160  1.075e+00  1.0748  1.074e+02   0.0000
   3180  1.075e+00  1.0751  1.074e+02   0.0000
   3200  1.075e+00  1.0753  1.074e+02   0.0000
   3220  1.076e+00  1.0756  1.074e+02   0.0000
   3240  1.076e+00  1.0762  1.074e+02   0.0000
   3260  1.077e+00  1.0767  1.075e+02   0.0000
   3280  1.077e+00  1.0769  1.075e+02   0.0000
   3300  1.077e+00  1.0772  1.075e+02   0.0000
   3320  1.077e+00  1.0774  1.075e+02   0.0000
   3340  1.078e+00  1.0777  1.076e+02   0.0000
   3360  1.078e+00  1.0779  1.076e+02   0.0000
   3380  1.078e+00  1.0780  1.076e+02   0.0000
   3400  1.078e+00  1.0781  1.076e+02   0.0000
   3420  1.078e+00  1.0783  1.076e+02   0.0000
