t,kl,tr_elbo,tr_acc,tr_ll,tr_time,te_acc_mcvi,te_time_mcvi,te_acc_dvi,te_acc_samples,te_time_dvi
16,0.0,-0.012486838958164057,0.99675,-0.012486838958164057,206.2091360092163,0.9781349840255591,189.43091487884521,0.9776357827476039,0.8186900958466453,19.23154091835022
17,0.0,-0.01616379361624519,0.9958166666666667,-0.01616379361624519,210.19981384277344,0.9774361022364217,191.48481702804565,0.9775359424920128,0.8108027156549521,19.441393852233887
18,0.0,-0.016825974887609483,0.9961,-0.016825974887609483,207.85407996177673,0.9790335463258786,189.79619884490967,0.9782348242811502,0.8194888178913738,21.568278074264526
19,0.0,-0.012345603931943576,0.9971333333333333,-0.012345603931943576,210.1891667842865,0.9793330670926518,194.32926726341248,0.9789337060702875,0.8007188498402555,19.715591192245483
20,0.0,-0.017690631536146004,0.99605,-0.017690631536146004,207.22526216506958,0.9767372204472844,195.34376120567322,0.9768370607028753,0.8148961661341853,20.462785243988037
21,0.0,-0.012650026439378658,0.9968333333333333,-0.012650026439378658,198.89070677757263,0.9749400958466453,184.20745968818665,0.9739416932907349,0.7990215654952076,18.599636793136597
22,0.0,-0.012574232633163531,0.9966666666666667,-0.012574232633163531,198.60911893844604,0.9771365814696485,179.5521867275238,0.9769369009584664,0.8186900958466453,18.82277011871338
23,0.0,-0.014737561699748039,0.9971,-0.014737561699748039,195.2485067844391,0.9770367412140575,148.2306900024414,0.9770367412140575,0.8150958466453674,18.305294036865234
24,0.0,-0.013460077060262362,0.9969833333333333,-0.013460077060262362,152.79221510887146,0.977935303514377,146.5944631099701,0.9787340255591054,0.8196884984025559,14.602946996688843
25,0.0,-0.011824688384061059,0.9973666666666666,-0.011824688384061059,152.413959980011,0.9740415335463258,146.4577829837799,0.9735423322683706,0.81060303514377,14.606915950775146
26,0.0,-0.013712917995452881,0.9972666666666666,-0.013712917995452881,153.0561442375183,0.9782348242811502,148.7481620311737,0.9787340255591054,0.8196884984025559,14.4462149143219
27,0.0,-0.015733069127673905,0.9968,-0.015733069127673905,151.8786702156067,0.9771365814696485,147.4470009803772,0.9771365814696485,0.8147963258785943,14.655065298080444
28,0.0,-0.012654027600586414,0.9972166666666666,-0.012654027600586414,153.1803331375122,0.9770367412140575,147.92776584625244,0.9771365814696485,0.8075079872204473,14.587177276611328
29,0.0,-0.013818388536324104,0.99715,-0.013818388536324104,113.57863116264343,0.9782348242811502,107.94974684715271,0.9785343450479234,0.8188897763578274,10.552934885025024
30,0.0,-0.01284046714703242,0.99725,-0.01284046714703242,109.06912207603455,0.9809305111821086,110.35943007469177,0.9802316293929713,0.8087060702875399,10.652137994766235
31,0.0,-0.01029996344645818,0.9977833333333334,-0.01029996344645818,111.75679683685303,0.9802316293929713,114.03603196144104,0.9802316293929713,0.8118011182108626,10.308427810668945
32,0.0,-0.014917136698464553,0.9970333333333333,-0.014917136698464553,113.08564114570618,0.9785343450479234,112.02897906303406,0.9790335463258786,0.8285742811501597,10.635438919067383
