t,ELBO,ll,kl,lmbda
1840,0.9007353782653809,0.9007353782653809,105.08732604980469,0.0
1860,0.9011747241020203,0.9011747241020203,105.12873077392578,0.0
1880,0.9016157388687134,0.9016157388687134,105.16996002197266,0.0
1900,0.9020622968673706,0.9020622968673706,105.21104431152344,0.0
1920,0.902494490146637,0.902494490146637,105.25199890136719,0.0
1940,0.9029157161712646,0.9029157161712646,105.29278564453125,0.0
1960,0.903348445892334,0.903348445892334,105.33341217041016,0.0
1980,0.9039084315299988,0.9039084315299988,105.37419128417969,0.0
2000,0.9042991399765015,0.9042991399765015,105.41525268554688,0.0
2020,0.9048563838005066,0.9048563838005066,105.45609283447266,0.0
2040,0.9053385257720947,0.9053385257720947,105.49659729003906,0.0
2060,0.9058049917221069,0.9058049917221069,105.53681182861328,0.0
2080,0.9062658548355103,0.9062658548355103,105.57672882080078,0.0
2100,0.9067075848579407,0.9067075848579407,105.61652374267578,0.0
2120,0.9071223735809326,0.9071223735809326,105.65642547607422,0.0
2140,0.9075919985771179,0.9075919985771179,105.69615936279297,0.0
2160,0.9080614447593689,0.9080614447593689,105.73554992675781,0.0
2180,0.9084658026695251,0.9084658026695251,105.77462768554688,0.0
2200,0.908871591091156,0.908871591091156,105.81351470947266,0.0
2220,0.9093034863471985,0.9093034863471985,105.85221862792969,0.0
2240,0.9097107648849487,0.9097107648849487,105.89071655273438,0.0
2260,0.9101102352142334,0.9101102352142334,105.92896270751953,0.0
2280,0.9105190634727478,0.9105190634727478,105.96696472167969,0.0
2300,0.9108841419219971,0.9108841419219971,106.00471496582031,0.0
2320,0.9112058281898499,0.9112058281898499,106.04217529296875,0.0
2340,0.911515474319458,0.911515474319458,106.07935333251953,0.0
2360,0.9118044972419739,0.9118044972419739,106.11624908447266,0.0
2380,0.912076473236084,0.912076473236084,106.15283966064453,0.0
2400,0.912351667881012,0.912351667881012,106.18919372558594,0.0
2420,0.9126097559928894,0.9126097559928894,106.22534942626953,0.0
2440,0.9128613471984863,0.9128613471984863,106.26133728027344,0.0
2460,0.9130973815917969,0.9130973815917969,106.29712677001953,0.0
2480,0.9133338928222656,0.9133338928222656,106.33268737792969,0.0
2500,0.9135580658912659,0.9135580658912659,106.36801147460938,0.0
2520,0.9137817621231079,0.9137817621231079,106.40312957763672,0.0
2540,0.9139973521232605,0.9139973521232605,106.4380111694336,0.0
2560,0.9142116904258728,0.9142116904258728,106.47270965576172,0.0
2580,0.9144188165664673,0.9144188165664673,106.5072021484375,0.0
2600,0.9146271347999573,0.9146271347999573,106.54148864746094,0.0
2620,0.9148279428482056,0.9148279428482056,106.5755844116211,0.0
2640,0.9150184988975525,0.9150184988975525,106.6094970703125,0.0
2660,0.9152098298072815,0.9152098298072815,106.64323425292969,0.0
2680,0.9154012799263,0.9154012799263,106.67681121826172,0.0
2700,0.9155986309051514,0.9155986309051514,106.7102279663086,0.0
2720,0.9157915115356445,0.9157915115356445,106.7435073852539,0.0
2740,0.9159861207008362,0.9159861207008362,106.776611328125,0.0
2760,0.9161776900291443,0.9161776900291443,106.80957794189453,0.0
2780,0.916374683380127,0.916374683380127,106.8423843383789,0.0
2800,0.9165768027305603,0.9165768027305603,106.87507629394531,0.0
2820,0.9167798757553101,0.9167798757553101,106.9076156616211,0.0
2840,0.9169728755950928,0.9169728755950928,106.94009399414062,0.0
2860,0.9171395897865295,0.9171395897865295,106.97252655029297,0.0
2880,0.9173234105110168,0.9173234105110168,107.0049057006836,0.0
2900,0.9175439476966858,0.9175439476966858,107.03711700439453,0.0
2920,0.917747974395752,0.917747974395752,107.0690689086914,0.0
2940,0.9179396033287048,0.9179396033287048,107.1008071899414,0.0
2960,0.9181272387504578,0.9181272387504578,107.13237762451172,0.0
2980,0.9183169603347778,0.9183169603347778,107.1637954711914,0.0
