Namespace(anneal_updates=1000, batch_size=500, data_size=500, device=device(type='cpu'), draw_every=1000, epochs=20000, gamma=0.5, heteroskedastic=True, hid_size=128, homo_log_var_scale=-3.2188758248682006, homo_var=0.35, lr=0.01, mcvi=True, method='bayes', milestones=[1000, 3000, 5000, 9000, 13000], test_size=100, warmup_updates=14000)
  epoch        ELBO       ll         kl    lmbda
   2160  6.014e-01  0.6014  1.037e+02   0.0000
   2180  2.061e-01  0.2061  1.038e+02   0.0000
   2200  4.946e-01  0.4946  1.038e+02   0.0000
   2220  6.002e-01  0.6002  1.039e+02   0.0000
   2240  2.024e-01  0.2024  1.039e+02   0.0000
   2260  4.929e-01  0.4929  1.040e+02   0.0000
   2280  5.991e-01  0.5991  1.040e+02   0.0000
   2300  1.993e-01  0.1993  1.041e+02   0.0000
   2320  4.912e-01  0.4912  1.042e+02   0.0000
   2340  5.982e-01  0.5982  1.042e+02   0.0000
   2360  1.969e-01  0.1969  1.043e+02   0.0000
   2380  4.901e-01  0.4901  1.043e+02   0.0000
   2400  5.984e-01  0.5984  1.044e+02   0.0000
   2420  1.961e-01  0.1961  1.044e+02   0.0000
   2440  4.917e-01  0.4917  1.045e+02   0.0000
   2460  6.020e-01  0.6020  1.046e+02   0.0000
   2480  1.973e-01  0.1973  1.046e+02   0.0000
   2500  5.000e-01  0.5000  1.047e+02   0.0000
   2520  6.099e-01  0.6099  1.048e+02   0.0000
   2540  2.024e-01  0.2024  1.048e+02   0.0000
   2560  5.019e-01  0.5019  1.049e+02   0.0000
   2580  6.115e-01  0.6115  1.050e+02   0.0000
   2600  2.038e-01  0.2038  1.050e+02   0.0000
   2620  5.026e-01  0.5026  1.051e+02   0.0000
   2640  6.121e-01  0.6121  1.051e+02   0.0000
   2660  2.020e-01  0.2020  1.052e+02   0.0000
   2680  5.032e-01  0.5032  1.053e+02   0.0000
   2700  6.123e-01  0.6123  1.054e+02   0.0000
   2720  2.021e-01  0.2021  1.054e+02   0.0000
   2740  5.031e-01  0.5031  1.055e+02   0.0000
   2760  6.120e-01  0.6120  1.056e+02   0.0000
   2780  2.011e-01  0.2011  1.056e+02   0.0000
   2800  5.011e-01  0.5011  1.057e+02   0.0000
   2820  6.105e-01  0.6105  1.058e+02   0.0000
   2840  2.003e-01  0.2003  1.058e+02   0.0000
   2860  4.992e-01  0.4992  1.059e+02   0.0000
   2880  6.091e-01  0.6091  1.060e+02   0.0000
   2900  1.995e-01  0.1995  1.061e+02   0.0000
   2920  4.980e-01  0.4980  1.061e+02   0.0000
   2940  6.080e-01  0.6080  1.062e+02   0.0000
   2960  1.985e-01  0.1985  1.063e+02   0.0000
   2980  4.961e-01  0.4961  1.063e+02   0.0000
   3000  6.066e-01  0.6066  1.064e+02   0.0000
   3020  -6.441e-03  -0.0064  1.065e+02   0.0000
   3040  1.848e-01  0.1848  1.066e+02   0.0000
   3060  9.037e-01  0.9037  1.066e+02   0.0000
   3080  9.194e-01  0.9194  1.067e+02   0.0000
   3100  6.280e-01  0.6280  1.068e+02   0.0000
   3120  7.809e-01  0.7809  1.068e+02   0.0000
   3140  6.049e-01  0.6049  1.069e+02   0.0000
   3160  7.656e-01  0.7656  1.069e+02   0.0000
   3180  8.418e-01  0.8418  1.069e+02   0.0000
   3200  5.826e-01  0.5826  1.070e+02   0.0000
   3220  7.799e-01  0.7799  1.070e+02   0.0000
   3240  8.484e-01  0.8484  1.070e+02   0.0000
   3260  5.830e-01  0.5830  1.070e+02   0.0000
   3280  7.832e-01  0.7832  1.071e+02   0.0000
   3300  8.508e-01  0.8508  1.071e+02   0.0000
   3320  5.830e-01  0.5830  1.071e+02   0.0000
   3340  7.846e-01  0.7846  1.071e+02   0.0000
   3360  8.526e-01  0.8526  1.072e+02   0.0000
   3380  5.830e-01  0.5830  1.072e+02   0.0000
   3400  7.855e-01  0.7855  1.072e+02   0.0000
   3420  8.539e-01  0.8539  1.072e+02   0.0000
   3440  5.825e-01  0.5825  1.073e+02   0.0000
   3460  7.868e-01  0.7868  1.073e+02   0.0000
   3480  8.552e-01  0.8552  1.073e+02   0.0000
   3500  5.826e-01  0.5826  1.073e+02   0.0000
   3520  7.874e-01  0.7874  1.074e+02   0.0000
   3540  8.562e-01  0.8562  1.074e+02   0.0000
   3560  5.831e-01  0.5831  1.074e+02   0.0000
   3580  7.879e-01  0.7879  1.074e+02   0.0000
   3600  8.572e-01  0.8572  1.075e+02   0.0000
   3620  5.834e-01  0.5834  1.075e+02   0.0000
   3640  7.888e-01  0.7888  1.075e+02   0.0000
   3660  8.582e-01  0.8582  1.075e+02   0.0000
   3680  5.837e-01  0.5837  1.076e+02   0.0000
   3700  7.892e-01  0.7892  1.076e+02   0.0000
   3720  8.587e-01  0.8587  1.076e+02   0.0000
   3740  5.843e-01  0.5843  1.076e+02   0.0000
   3760  7.894e-01  0.7894  1.077e+02   0.0000
   3780  8.593e-01  0.8593  1.077e+02   0.0000
   3800  5.843e-01  0.5843  1.077e+02   0.0000
   3820  7.899e-01  0.7899  1.078e+02   0.0000
   3840  8.599e-01  0.8599  1.078e+02   0.0000
   3860  5.841e-01  0.5841  1.078e+02   0.0000
   3880  7.902e-01  0.7902  1.078e+02   0.0000
   3900  8.603e-01  0.8603  1.079e+02   0.0000
   3920  5.842e-01  0.5842  1.079e+02   0.0000
   3940  7.904e-01  0.7904  1.079e+02   0.0000
   3960  8.607e-01  0.8607  1.079e+02   0.0000
   3980  5.841e-01  0.5841  1.080e+02   0.0000
   4000  7.907e-01  0.7907  1.080e+02   0.0000
   4020  8.611e-01  0.8611  1.080e+02   0.0000
   4040  5.841e-01  0.5841  1.080e+02   0.0000
   4060  7.910e-01  0.7910  1.081e+02   0.0000
   4080  8.614e-01  0.8614  1.081e+02   0.0000
   4100  5.841e-01  0.5841  1.081e+02   0.0000
   4120  7.912e-01  0.7912  1.082e+02   0.0000
   4140  8.617e-01  0.8617  1.082e+02   0.0000
   4160  5.842e-01  0.5842  1.082e+02   0.0000
   4180  7.913e-01  0.7913  1.082e+02   0.0000
   4200  8.619e-01  0.8619  1.083e+02   0.0000
   4220  5.843e-01  0.5843  1.083e+02   0.0000
   4240  7.914e-01  0.7914  1.083e+02   0.0000
   4260  8.621e-01  0.8621  1.084e+02   0.0000
   4280  5.845e-01  0.5845  1.084e+02   0.0000
   4300  7.915e-01  0.7915  1.084e+02   0.0000
   4320  8.623e-01  0.8623  1.084e+02   0.0000
   4340  5.847e-01  0.5847  1.085e+02   0.0000
   4360  7.916e-01  0.7916  1.085e+02   0.0000
   4380  8.625e-01  0.8625  1.085e+02   0.0000
   4400  5.849e-01  0.5849  1.086e+02   0.0000
   4420  7.917e-01  0.7917  1.086e+02   0.0000
   4440  8.626e-01  0.8626  1.086e+02   0.0000
   4460  5.853e-01  0.5853  1.086e+02   0.0000
   4480  7.917e-01  0.7917  1.087e+02   0.0000
   4500  8.629e-01  0.8629  1.087e+02   0.0000
   4520  5.856e-01  0.5856  1.087e+02   0.0000
   4540  7.920e-01  0.7920  1.088e+02   0.0000
   4560  8.634e-01  0.8634  1.088e+02   0.0000
   4580  5.851e-01  0.5851  1.088e+02   0.0000
   4600  7.926e-01  0.7926  1.088e+02   0.0000
   4620  8.639e-01  0.8639  1.089e+02   0.0000
   4640  5.845e-01  0.5845  1.089e+02   0.0000
   4660  7.928e-01  0.7928  1.089e+02   0.0000
   4680  8.642e-01  0.8642  1.090e+02   0.0000
   4700  5.839e-01  0.5839  1.090e+02   0.0000
   4720  7.930e-01  0.7930  1.090e+02   0.0000
   4740  8.644e-01  0.8644  1.091e+02   0.0000
   4760  5.833e-01  0.5833  1.091e+02   0.0000
   4780  7.931e-01  0.7931  1.091e+02   0.0000
   4800  8.646e-01  0.8646  1.092e+02   0.0000
   4820  5.830e-01  0.5830  1.092e+02   0.0000
   4840  7.931e-01  0.7931  1.092e+02   0.0000
   4860  8.648e-01  0.8648  1.093e+02   0.0000
   4880  5.825e-01  0.5825  1.093e+02   0.0000
   4900  7.932e-01  0.7932  1.093e+02   0.0000
   4920  8.650e-01  0.8650  1.094e+02   0.0000
   4940  5.822e-01  0.5822  1.094e+02   0.0000
   4960  7.931e-01  0.7931  1.094e+02   0.0000
   4980  8.649e-01  0.8649  1.094e+02   0.0000
   5000  5.820e-01  0.5820  1.095e+02   0.0000
   5020  5.074e-01  0.5074  1.095e+02   0.0000
   5040  3.722e-01  0.3722  1.095e+02   0.0000
   5060  4.783e-01  0.4783  1.095e+02   0.0000
   5080  4.515e-01  0.4515  1.096e+02   0.0000
   5100  4.639e-01  0.4639  1.096e+02   0.0000
   5120  4.772e-01  0.4772  1.096e+02   0.0000
   5140  4.657e-01  0.4657  1.096e+02   0.0000
   5160  4.802e-01  0.4802  1.096e+02   0.0000
   5180  4.727e-01  0.4727  1.096e+02   0.0000
   5200  4.734e-01  0.4734  1.096e+02   0.0000
   5220  4.931e-01  0.4931  1.097e+02   0.0000
   5240  4.928e-01  0.4928  1.097e+02   0.0000
   5260  4.951e-01  0.4951  1.097e+02   0.0000
   5280  4.987e-01  0.4987  1.097e+02   0.0000
   5300  4.967e-01  0.4967  1.097e+02   0.0000
   5320  4.924e-01  0.4924  1.097e+02   0.0000
   5340  5.069e-01  0.5069  1.097e+02   0.0000
   5360  5.012e-01  0.5012  1.097e+02   0.0000
   5380  4.987e-01  0.4987  1.097e+02   0.0000
   5400  5.117e-01  0.5117  1.098e+02   0.0000
   5420  5.069e-01  0.5069  1.098e+02   0.0000
   5440  5.048e-01  0.5048  1.098e+02   0.0000
   5460  5.171e-01  0.5171  1.098e+02   0.0000
   5480  5.114e-01  0.5114  1.098e+02   0.0000
   5500  5.100e-01  0.5100  1.098e+02   0.0000
   5520  5.205e-01  0.5205  1.098e+02   0.0000
   5540  5.164e-01  0.5164  1.098e+02   0.0000
   5560  5.150e-01  0.5150  1.098e+02   0.0000
   5580  5.259e-01  0.5259  1.099e+02   0.0000
   5600  5.199e-01  0.5199  1.099e+02   0.0000
   5620  5.182e-01  0.5182  1.099e+02   0.0000
   5640  5.292e-01  0.5292  1.099e+02   0.0000
   5660  5.238e-01  0.5238  1.099e+02   0.0000
   5680  5.229e-01  0.5229  1.099e+02   0.0000
   5700  5.331e-01  0.5331  1.099e+02   0.0000
   5720  5.279e-01  0.5279  1.100e+02   0.0000
   5740  5.277e-01  0.5277  1.100e+02   0.0000
   5760  5.373e-01  0.5373  1.100e+02   0.0000
   5780  5.316e-01  0.5316  1.100e+02   0.0000
   5800  5.313e-01  0.5313  1.100e+02   0.0000
   5820  5.405e-01  0.5405  1.100e+02   0.0000
   5840  5.356e-01  0.5356  1.100e+02   0.0000
   5860  5.350e-01  0.5350  1.100e+02   0.0000
   5880  5.434e-01  0.5434  1.101e+02   0.0000
   5900  5.385e-01  0.5385  1.101e+02   0.0000
   5920  5.391e-01  0.5391  1.101e+02   0.0000
   5940  5.466e-01  0.5466  1.101e+02   0.0000
   5960  5.409e-01  0.5409  1.101e+02   0.0000
   5980  5.432e-01  0.5432  1.101e+02   0.0000
   6000  5.489e-01  0.5489  1.101e+02   0.0000
   6020  5.455e-01  0.5455  1.102e+02   0.0000
   6040  5.496e-01  0.5496  1.102e+02   0.0000
   6060  5.508e-01  0.5508  1.102e+02   0.0000
   6080  5.525e-01  0.5525  1.102e+02   0.0000
   6100  5.530e-01  0.5530  1.102e+02   0.0000
   6120  5.538e-01  0.5538  1.102e+02   0.0000
   6140  5.542e-01  0.5542  1.102e+02   0.0000
   6160  5.555e-01  0.5555  1.103e+02   0.0000
   6180  5.532e-01  0.5532  1.103e+02   0.0000
   6200  5.577e-01  0.5577  1.103e+02   0.0000
   6220  5.556e-01  0.5556  1.103e+02   0.0000
   6240  5.557e-01  0.5557  1.103e+02   0.0000
   6260  5.599e-01  0.5599  1.103e+02   0.0000
   6280  5.582e-01  0.5582  1.103e+02   0.0000
   6300  5.593e-01  0.5593  1.104e+02   0.0000
   6320  5.628e-01  0.5628  1.104e+02   0.0000
   6340  5.610e-01  0.5610  1.104e+02   0.0000
   6360  5.623e-01  0.5623  1.104e+02   0.0000
   6380  5.654e-01  0.5654  1.104e+02   0.0000
   6400  5.633e-01  0.5633  1.104e+02   0.0000
   6420  5.652e-01  0.5652  1.104e+02   0.0000
   6440  5.680e-01  0.5680  1.105e+02   0.0000
   6460  5.662e-01  0.5662  1.105e+02   0.0000
   6480  5.684e-01  0.5684  1.105e+02   0.0000
   6500  5.710e-01  0.5710  1.105e+02   0.0000
   6520  5.686e-01  0.5686  1.105e+02   0.0000
   6540  5.708e-01  0.5708  1.105e+02   0.0000
   6560  5.719e-01  0.5719  1.105e+02   0.0000
   6580  5.724e-01  0.5724  1.106e+02   0.0000
   6600  5.773e-01  0.5773  1.106e+02   0.0000
   6620  5.749e-01  0.5749  1.106e+02   0.0000
   6640  5.772e-01  0.5772  1.106e+02   0.0000
   6660  5.787e-01  0.5787  1.106e+02   0.0000
   6680  5.779e-01  0.5779  1.106e+02   0.0000
   6700  5.809e-01  0.5809  1.107e+02   0.0000
   6720  5.821e-01  0.5821  1.107e+02   0.0000
   6740  5.821e-01  0.5821  1.107e+02   0.0000
   6760  5.838e-01  0.5838  1.107e+02   0.0000
   6780  5.839e-01  0.5839  1.107e+02   0.0000
   6800  5.847e-01  0.5847  1.107e+02   0.0000
   6820  5.853e-01  0.5853  1.108e+02   0.0000
   6840  5.862e-01  0.5862  1.108e+02   0.0000
   6860  5.870e-01  0.5870  1.108e+02   0.0000
   6880  5.878e-01  0.5878  1.108e+02   0.0000
   6900  5.886e-01  0.5886  1.108e+02   0.0000
   6920  5.895e-01  0.5895  1.108e+02   0.0000
   6940  5.911e-01  0.5911  1.109e+02   0.0000
   6960  5.923e-01  0.5923  1.109e+02   0.0000
   6980  5.928e-01  0.5928  1.109e+02   0.0000
   7000  5.933e-01  0.5933  1.109e+02   0.0000
   7020  5.939e-01  0.5939  1.109e+02   0.0000
   7040  5.944e-01  0.5944  1.109e+02   0.0000
   7060  5.947e-01  0.5947  1.109e+02   0.0000
   7080  5.955e-01  0.5955  1.110e+02   0.0000
   7100  5.964e-01  0.5964  1.110e+02   0.0000
   7120  5.969e-01  0.5969  1.110e+02   0.0000
   7140  5.971e-01  0.5971  1.110e+02   0.0000
   7160  5.975e-01  0.5975  1.110e+02   0.0000
   7180  5.983e-01  0.5983  1.110e+02   0.0000
   7200  5.992e-01  0.5992  1.111e+02   0.0000
   7220  6.000e-01  0.6000  1.111e+02   0.0000
   7240  6.010e-01  0.6010  1.111e+02   0.0000
   7260  6.016e-01  0.6016  1.111e+02   0.0000
   7280  6.023e-01  0.6023  1.111e+02   0.0000
   7300  6.029e-01  0.6029  1.111e+02   0.0000
   7320  6.034e-01  0.6034  1.111e+02   0.0000
   7340  6.038e-01  0.6038  1.112e+02   0.0000
   7360  6.040e-01  0.6040  1.112e+02   0.0000
   7380  6.043e-01  0.6043  1.112e+02   0.0000
   7400  6.048e-01  0.6048  1.112e+02   0.0000
   7420  6.057e-01  0.6057  1.112e+02   0.0000
   7440  6.068e-01  0.6068  1.112e+02   0.0000
   7460  6.079e-01  0.6079  1.113e+02   0.0000
   7480  6.088e-01  0.6088  1.113e+02   0.0000
   7500  6.096e-01  0.6096  1.113e+02   0.0000
   7520  6.103e-01  0.6103  1.113e+02   0.0000
   7540  6.110e-01  0.6110  1.113e+02   0.0000
   7560  6.119e-01  0.6119  1.113e+02   0.0000
   7580  6.129e-01  0.6129  1.113e+02   0.0000
   7600  6.138e-01  0.6138  1.114e+02   0.0000
   7620  6.154e-01  0.6154  1.114e+02   0.0000
   7640  6.170e-01  0.6170  1.114e+02   0.0000
   7660  6.181e-01  0.6181  1.114e+02   0.0000
   7680  6.188e-01  0.6188  1.114e+02   0.0000
   7700  6.193e-01  0.6193  1.114e+02   0.0000
   7720  6.198e-01  0.6198  1.114e+02   0.0000
   7740  6.202e-01  0.6202  1.115e+02   0.0000
   7760  6.204e-01  0.6204  1.115e+02   0.0000
   7780  6.204e-01  0.6204  1.115e+02   0.0000
   7800  6.202e-01  0.6202  1.115e+02   0.0000
   7820  6.202e-01  0.6202  1.115e+02   0.0000
   7840  6.202e-01  0.6202  1.115e+02   0.0000
   7860  6.198e-01  0.6198  1.115e+02   0.0000
   7880  6.186e-01  0.6186  1.116e+02   0.0000
   7900  6.229e-01  0.6229  1.116e+02   0.0000
   7920  6.260e-01  0.6260  1.116e+02   0.0000
   7940  6.270e-01  0.6270  1.116e+02   0.0000
   7960  6.269e-01  0.6269  1.116e+02   0.0000
   7980  6.263e-01  0.6263  1.116e+02   0.0000
   8000  6.263e-01  0.6263  1.116e+02   0.0000
   8020  6.263e-01  0.6263  1.117e+02   0.0000
   8040  6.265e-01  0.6265  1.117e+02   0.0000
   8060  6.270e-01  0.6270  1.117e+02   0.0000
   8080  6.268e-01  0.6268  1.117e+02   0.0000
   8100  6.272e-01  0.6272  1.117e+02   0.0000
   8120  6.280e-01  0.6280  1.117e+02   0.0000
   8140  6.287e-01  0.6287  1.117e+02   0.0000
   8160  6.292e-01  0.6292  1.117e+02   0.0000
   8180  6.296e-01  0.6296  1.118e+02   0.0000
   8200  6.300e-01  0.6300  1.118e+02   0.0000
   8220  6.304e-01  0.6304  1.118e+02   0.0000
   8240  6.308e-01  0.6308  1.118e+02   0.0000
   8260  6.311e-01  0.6311  1.118e+02   0.0000
   8280  6.314e-01  0.6314  1.118e+02   0.0000
   8300  6.318e-01  0.6318  1.118e+02   0.0000
   8320  6.321e-01  0.6321  1.119e+02   0.0000
   8340  6.324e-01  0.6324  1.119e+02   0.0000
   8360  6.329e-01  0.6329  1.119e+02   0.0000
   8380  6.336e-01  0.6336  1.119e+02   0.0000
   8400  6.346e-01  0.6346  1.119e+02   0.0000
   8420  6.354e-01  0.6354  1.119e+02   0.0000
   8440  6.360e-01  0.6360  1.119e+02   0.0000
   8460  6.364e-01  0.6364  1.120e+02   0.0000
   8480  6.366e-01  0.6366  1.120e+02   0.0000
   8500  6.369e-01  0.6369  1.120e+02   0.0000
   8520  6.372e-01  0.6372  1.120e+02   0.0000
   8540  6.375e-01  0.6375  1.120e+02   0.0000
   8560  6.377e-01  0.6377  1.120e+02   0.0000
   8580  6.378e-01  0.6378  1.121e+02   0.0000
   8600  6.379e-01  0.6379  1.121e+02   0.0000
   8620  6.378e-01  0.6378  1.121e+02   0.0000
   8640  6.375e-01  0.6375  1.121e+02   0.0000
   8660  6.372e-01  0.6372  1.121e+02   0.0000
   8680  6.370e-01  0.6370  1.121e+02   0.0000
   8700  6.379e-01  0.6379  1.121e+02   0.0000
   8720  6.386e-01  0.6386  1.122e+02   0.0000
   8740  6.383e-01  0.6383  1.122e+02   0.0000
