epoch,valid_acc,test_acc,train_losses
1,0.04679999999999995,0.04579999999999995,4845.88623046875
2,0.0353,0.032399999999999984,4808.04248046875
3,0.02970000000000006,0.029299999999999993,4800.86181640625
4,0.028200000000000003,0.027000000000000024,4795.93701171875
5,0.025499999999999967,0.025000000000000022,4792.0634765625
6,0.02629999999999999,0.0252,4788.45751953125
7,0.024700000000000055,0.02310000000000001,4785.66162109375
8,0.02290000000000003,0.02310000000000001,4782.69921875
9,0.022700000000000053,0.023499999999999965,4780.166015625
10,0.023700000000000054,0.023299999999999987,4777.69287109375
11,0.021199999999999997,0.021499999999999964,4775.16357421875
12,0.022399999999999975,0.02210000000000001,4772.86962890625
13,0.022600000000000064,0.02210000000000001,4770.458984375
14,0.02210000000000001,0.02100000000000002,4768.15966796875
15,0.022600000000000064,0.021299999999999986,4765.72509765625
16,0.02210000000000001,0.020600000000000063,4763.47705078125
17,0.02090000000000003,0.020100000000000007,4761.08837890625
18,0.021199999999999997,0.021100000000000008,4758.80126953125
19,0.02100000000000002,0.020000000000000018,4756.58984375
20,0.02190000000000003,0.02090000000000003,4754.17333984375
21,0.021299999999999986,0.021100000000000008,4751.85107421875
22,0.021399999999999975,0.02100000000000002,4749.67626953125
23,0.02090000000000003,0.02179999999999993,4747.34912109375
24,0.02090000000000003,0.02090000000000003,4744.90576171875
25,0.02090000000000003,0.020600000000000063,4742.69677734375
26,0.02200000000000002,0.02070000000000005,4740.41015625
27,0.021299999999999986,0.02100000000000002,4738.03955078125
28,0.02079999999999993,0.02079999999999993,4735.71728515625
29,0.020299999999999985,0.020499999999999963,4733.51171875
30,0.020199999999999996,0.020199999999999996,4731.26171875
31,0.02070000000000005,0.021100000000000008,4728.931640625
32,0.02079999999999993,0.02070000000000005,4726.6044921875
33,0.020399999999999974,0.02079999999999993,4724.18896484375
34,0.022199999999999998,0.02070000000000005,4721.8818359375
35,0.02190000000000003,0.02070000000000005,4719.63232421875
36,0.021100000000000008,0.020499999999999963,4717.3974609375
37,0.020600000000000063,0.019499999999999962,4714.982421875
38,0.020199999999999996,0.01990000000000003,4712.6982421875
39,0.021100000000000008,0.020299999999999985,4710.46435546875
40,0.02070000000000005,0.020199999999999996,4708.14599609375
41,0.020600000000000063,0.020499999999999963,4705.81982421875
42,0.02070000000000005,0.020499999999999963,4703.54833984375
43,0.02079999999999993,0.01979999999999993,4701.2509765625
44,0.02090000000000003,0.020399999999999974,4698.86962890625
45,0.02070000000000005,0.020299999999999985,4696.51611328125
46,0.02079999999999993,0.020199999999999996,4694.2822265625
47,0.020499999999999963,0.02100000000000002,4692.060546875
48,0.021100000000000008,0.020399999999999974,4689.61767578125
49,0.020499999999999963,0.020299999999999985,4687.4111328125
50,0.02090000000000003,0.02070000000000005,4685.10498046875
